cpu_usage,memory_usage,disk_usage,network_connections,failed_logins,suspicious_processes,file_changes,suspicious_network,label
27.38,21.0,33.75,8,0,0,0,0,0
30.78,47.07,64.61,3,1,0,0,0,0
6.11,23.75,31.63,20,0,0,0,0,0
24.64,48.64,55.07,14,0,0,0,0,0
20.72,31.13,63.47,6,1,0,0,0,0
16.91,26.22,67.86,11,0,0,0,0,0
8.25,23.87,62.37,20,1,0,0,0,0
33.25,49.19,46.81,13,0,0,0,0,0
24.32,53.18,50.93,12,0,0,0,0,0
29.66,21.83,31.39,10,0,0,0,0,0
34.94,54.66,39.01,15,1,0,0,0,0
10.69,34.21,53.51,3,0,0,0,0,0
23.69,29.79,43.11,9,0,0,0,0,0
28.96,53.71,58.8,8,0,0,0,0,0
33.18,36.05,23.31,19,1,0,0,0,0
12.44,39.97,64.23,15,0,0,0,0,0
14.27,29.87,48.07,9,1,0,0,0,0
36.42,35.98,30.97,5,1,0,0,0,0
8.18,21.88,25.48,6,1,0,0,0,0
25.87,35.39,49.79,15,1,0,0,0,0
38.99,54.43,20.57,4,1,0,0,0,0
31.9,33.61,34.68,6,1,0,0,0,0
5.11,48.88,55.98,17,0,0,0,0,0
22.77,24.26,51.27,17,0,0,0,0,0
10.35,50.5,46.97,17,0,0,0,0,0
25.96,39.54,25.59,12,1,0,0,0,0
13.38,29.63,48.37,3,0,0,0,0,0
30.62,52.64,68.9,18,0,0,0,0,0
9.49,39.01,47.49,9,1,0,0,0,0
38.75,57.16,57.76,7,1,0,0,0,0
18.96,46.87,38.67,17,1,0,0,0,0
9.24,28.99,36.9,19,0,0,0,0,0
25.6,20.29,55.39,2,0,0,0,0,0
7.36,21.26,36.52,17,0,0,0,0,0
14.75,39.42,46.96,19,1,0,0,0,0
13.5,38.92,40.35,4,0,0,0,0,0
28.06,34.17,40.56,2,0,0,0,0,0
7.12,49.13,60.03,4,0,0,0,0,0
11.71,41.45,27.01,6,1,0,0,0,0
21.19,54.98,23.77,18,0,0,0,0,0
6.77,59.97,61.8,3,0,0,0,0,0
10.82,39.43,30.69,13,0,0,0,0,0
10.76,20.09,39.52,15,1,0,0,0,0
19.81,58.29,69.77,18,1,0,0,0,0
10.42,31.87,68.44,19,0,0,0,0,0
31.18,22.29,49.21,17,0,0,0,0,0
6.99,40.31,62.57,3,0,0,0,0,0
28.63,29.41,25.99,19,0,0,0,0,0
25.26,21.59,24.1,19,1,0,0,0,0
37.71,28.17,55.81,8,1,0,0,0,0
18.85,46.87,35.0,11,0,0,0,0,0
5.33,44.85,48.15,4,0,0,0,0,0
23.82,40.24,26.62,12,0,0,0,0,0
35.77,34.78,27.89,18,1,0,0,0,0
26.41,59.49,52.7,1,1,0,0,0,0
37.61,24.14,63.91,9,0,0,0,0,0
36.14,49.7,27.77,10,0,0,0,0,0
30.12,28.14,51.71,9,1,0,0,0,0
13.79,56.33,22.54,14,1,0,0,0,0
6.54,33.34,26.54,9,0,0,0,0,0
62.24,66.55,51.38,10,1,0,0,2,1
41.08,61.08,57.63,37,2,0,1,1,1
66.97,73.88,73.04,32,2,0,0,1,1
63.4,76.52,50.32,49,2,0,0,0,1
66.44,50.74,66.83,31,4,0,1,0,1
63.62,53.24,73.61,40,2,0,1,1,1
49.16,73.86,41.38,11,2,1,1,1,1
65.93,79.01,43.96,42,4,1,0,0,1
66.31,57.84,59.03,26,1,0,1,1,1
61.86,59.41,60.31,42,1,1,0,1,1
41.33,63.08,56.0,44,2,1,1,0,1
68.47,77.62,61.16,17,3,1,1,1,1
52.07,58.87,36.36,36,4,0,1,1,1
56.44,50.01,44.35,37,3,1,1,1,1
60.27,65.34,69.69,20,1,1,1,0,1
64.55,72.53,63.64,24,2,0,0,0,1
47.35,64.25,72.49,14,4,1,0,2,1
60.89,64.83,42.2,10,1,1,0,0,1
64.12,70.88,53.23,45,2,0,1,0,1
64.04,70.03,79.39,48,3,1,1,2,1
53.38,54.77,73.07,38,3,0,1,2,1
54.54,57.18,51.99,28,2,1,1,1,1
66.79,52.42,37.54,34,2,0,0,1,1
52.23,66.28,50.79,23,4,1,0,2,1
51.41,50.18,47.59,34,4,0,1,0,1
48.19,64.57,49.44,35,2,1,0,2,1
56.02,77.21,59.59,11,1,1,0,1,1
45.45,57.8,46.37,39,3,1,1,1,1
62.56,74.96,42.61,15,4,0,0,1,1
46.73,52.06,77.86,12,1,0,0,0,1
88.64,75.96,71.31,59,41,2,8,5,2
93.01,74.19,77.33,59,15,3,2,10,2
70.77,77.8,80.48,126,30,2,2,10,2
90.72,85.68,54.59,107,48,5,2,10,2
93.48,78.68,69.28,124,9,5,6,1,2
95.49,90.56,54.75,122,45,4,3,7,2
75.28,83.04,79.27,187,39,4,8,7,2
94.77,84.81,64.5,92,10,3,8,4,2
92.51,84.25,80.07,116,6,4,6,3,2
84.63,78.87,61.63,101,43,3,9,1,2
85.5,74.78,60.86,134,36,5,4,8,2
89.38,82.27,85.68,53,23,2,7,4,2
79.19,84.54,71.3,165,27,4,9,6,2
80.55,81.34,63.8,89,12,2,6,2,2
92.29,93.77,81.06,79,18,4,5,10,2
99.3,83.12,62.73,55,17,3,4,6,2
75.38,70.35,74.04,100,7,1,9,5,2
90.92,73.16,89.08,155,11,1,10,5,2
84.08,81.01,58.3,43,21,4,2,2,2
82.02,71.85,78.33,43,14,2,10,5,2
72.56,76.2,75.11,136,43,5,10,4,2
93.27,79.51,90.88,106,42,4,5,10,2
88.63,85.24,83.3,83,45,2,5,2,2
74.71,74.35,53.38,30,31,4,10,8,2
78.74,75.79,81.81,146,9,2,5,10,2
89.84,93.34,69.13,169,19,2,5,3,2
72.14,74.15,63.84,175,23,4,2,8,2
90.66,87.49,92.42,158,39,4,8,2,2
87.94,92.24,83.05,184,21,1,2,4,2
98.86,90.9,75.88,35,48,3,10,1,2
